Çam;15000
Köknar;20000
Meşe;25000
Kestane;20000
Ihlamur;25000
Söğüt;25000
Akçaağaç;25000
Elma;7500
Armut;7500
Kiraz;7500
Vişne;7500
Zeytin;12500
Nar;12500
Böğürtlen;7500
YabanMersini;7500
Çilek;3500
Karpuz;15000
Kabak;3500
Patlıcan;3500
Domates;7500
Biber;7500
Marul;1500
Havuç;3500
Pırasa;3500
Kereviz;3500
Kısır;1500
Roka;1500
Turp;3500
Bamya;3500
Patates;7500
Soğan;3500
Sarımsak;3500
Maydanoz;750
Nane;750
Kekik;750
Fesleğen;750
Dereotu;750
Kişniş;750
YaprakSalata;1500
Hindiba;1500
ÇörekOtu;750
TarımLahana;7500
ÇayırKuruOtu;1500
YüksekBoyluYabaniBitki;7500
YabanSalatalık;3500
YabaniMaydanoz;750
YabaniKekik;750
YabaniÇörekOtu;750
YabaniDereotu;750
Çim;1500
KuruÜzüm;1500
YabanKarışıkMeyve;7500
Alıç;7500
ÇamFıstığı;7500
Şalgam;3500
Kuşkonmaz;3500
Sütleğen;3500
YabaniTatlıPatates;3500
Tere;1500
YabaniPatates;3500
Tarhun;750
Hokka;750
Alabaş;3500
ArpaŞalgamı;3500
ÇayırKuruOtu;1500
ÇayırMürveri;1500
KuzuGübresi;1500
TarımLahana;7500
SığırcıkOtu;1500
ÇienmişYeşilSebze;1500
ÇiçekliSarımsak;750
OğulÇiçeği;750
TatlıSarımsak;750
OrmanMenekşesi;750
KirliÇiçek;750
OrmanKuzuKulağı;750
YabanSarımsak;750
ÇimenOtu;750
KekikYüksek;750
SuMaydanozu;750
ÇimenKuruOtu;750
ÇamSapı;1500
MaviÇiçek;750
CevizliÇimen;750
YüksekBoyluÇimen;750
AkasyaÇiçeği;750
ÇimenSapı;750
ÇamTohumu;750
ÇiçekliKuruOtu;750
Pine;15000
Spruce;20000
Oak;25000
Chestnut;20000
Linden;25000
Willow;25000
Maple;25000
Apple;7500
Pear;7500
Cherry;7500
SourCherry;7500
Olive;12500
Pomegranate;12500
Blackberry;7500
Blueberry;7500
Strawberry;3500
Watermelon;15000
Zucchini;3500
Eggplant;3500
Tomato;7500
Pepper;7500
Lettuce;1500
Carrot;3500
Leek;3500
Celery;3500
Bulgur;1500
Arugula;1500
Radish;3500
Okra;3500
Potato;7500
Onion;3500
Garlic;3500
Parsley;750
Mint;750
Thyme;750
Basil;750
Dill;750
Coriander;750
LeafLettuce;1500
Endive;1500
Cumin;750
Salsify;750
Kale;3500
Cauliflower;7500
Broccoli;7500
BrusselsSprouts;7500
Spinach;3500
Lamb'sLettuce;1500
Watercress;1500
Barley;7500
Oats;7500
Wheat;7500
Rye;7500
Corn;15000
Flax;7500
Cotton;7500
Soybean;7500
Hazelnut;7500
Walnut;7500
Lemon;3500
Orange;7500
Mandarin;7500
Grapefruit;7500
Kiwi;3500
Avocado;7500
Mango;7500
Papaya;7500
Pineapple;7500
Peach;7500
Apricot;7500
Plum;7500
WildApple;7500
Banana;7500
JapaneseBanana;7500
WildAsparagus;3500
WildGarlic;750
WildNettle;750
WildMint;750
WildCelery;750
LilyoftheValley;750
Orchid;750
Rose;750
Lilac;750
Jasmine;750
Lily;750
Carnation;750
Violet;750
Daisy;750
Tulip;750
Chrysanthemum;750
Crocus;750
Iris;750
Hibiscus;750
CaucasianViolet;750
Mimosa;750
Impatiens;750
Petunia;750
Begonia;750
RectangleFlower;750
Acacia;15000
BlackPine;15000
YellowPine;15000
Hornbeam;20000
PineCone;15000
Lavender;750
WildGrape;7500
SweetPotato;3500
TallWildPlant;7500
WildCucumber;3500
WildParsley;750
WildThyme;750
WildCumin;750
WildDill;750
Grass;1500
DriedRaisins;1500
WildMixedFruit;7500
Medlar;7500
PineNut;7500
Turnip;3500
Asparagus;3500
Spurge;750
WildSweetPotato;3500
Cress;1500
WildPotato;3500
Tarragon;750
Hokka;750
Kohlrabi;3500
BarleyTurnip;3500
FieldDryGrass;750
FieldElder;750
CowDung;750
AgriculturalCabbage;7500
StarlingHerb;750
SproutedGreenVegetable;1500
FloweringGarlic;750
Oregano;750
SweetGarlic;750
ForestViolet;750
DirtyFlower;750
ForestLamb'sLettuce;1500
WildGarlic;750
GrassHerb;750
HighThyme;750
WaterParsley;750
GrassDryHerb;750
PineNeedle;1500
BlueFlower;750
WalnutGrass;750
TallGrass;750
AcaciaFlower;750
GrassStem;750
PineSeed;750
FloweringDryHerb;750
Limon;3500
